claim,metric,value,method,confidence
"C1 job boards: biggest channel, 26.9% of hires",job_board_share_of_applications [B2 LinkedIn merged into Job Board],223/298 = 74.83% (95% CI 69.61-79.42),"Applications applied on or before 2026-06-28 (60 days, the slowest recorded hire, before 2026-08-27), dropping APP-00335: 298; channel = Candidates.Source with 'LinkedIn' counted as 'Job Board'; job-board applications / 298; Wilson 95%","high: 298 applications, 95% interval 10 points wide"
"C1 job boards: biggest channel, 26.9% of hires",conversion_by_channel [B1 Source as recorded: Job Board],7/195 = 3.59% (95% CI 1.75-7.22),"Applications applied on or before 2026-06-28, dropping APP-00335; channel = linked Candidates.Source; Stage='Hired' / applications in channel; Wilson 95%; not reported below 10 applications","medium: 195 applications, 95% interval 5 points wide, only 7 in the numerator"
"C1 job boards: biggest channel, 26.9% of hires",conversion_by_channel [B1 Source as recorded: Agency],4/33 = 12.12% (95% CI 4.82-27.33),"Applications applied on or before 2026-06-28, dropping APP-00335; channel = linked Candidates.Source; Stage='Hired' / applications in channel; Wilson 95%; not reported below 10 applications","low: 33 applications, 95% interval 23 points wide, only 4 in the numerator"
"C1 job boards: biggest channel, 26.9% of hires",conversion_by_channel [B1 Source as recorded: LinkedIn],3/28 = 10.71% (95% CI 3.71-27.20),"Applications applied on or before 2026-06-28, dropping APP-00335; channel = linked Candidates.Source; Stage='Hired' / applications in channel; Wilson 95%; not reported below 10 applications","low: 28 applications, 95% interval 23 points wide, only 3 in the numerator"
"C1 job boards: biggest channel, 26.9% of hires",conversion_by_channel [B1 Source as recorded: Career Site],5/26 = 19.23% (95% CI 8.51-37.88),"Applications applied on or before 2026-06-28, dropping APP-00335; channel = linked Candidates.Source; Stage='Hired' / applications in channel; Wilson 95%; not reported below 10 applications","low: 26 applications, 95% interval 29 points wide, only 5 in the numerator"
"C1 job boards: biggest channel, 26.9% of hires",conversion_by_channel [B1 Source as recorded: Referral],6/12 = 50.00% (95% CI 25.38-74.62),"Applications applied on or before 2026-06-28, dropping APP-00335; channel = linked Candidates.Source; Stage='Hired' / applications in channel; Wilson 95%; not reported below 10 applications","low: implausible effect size on n=12 (13.9x Job Board); only the direction is supported, see conversion_vs_job_board_p"
"C1 job boards: biggest channel, 26.9% of hires",conversion_by_channel [B1 Source as recorded: Campus],not reported (0/4),"Applications applied on or before 2026-06-28, dropping APP-00335; channel = linked Candidates.Source; Stage='Hired' / applications in channel; Wilson 95%; not reported below 10 applications",low: 4 applications cannot carry a rate
"C1 job boards: biggest channel, 26.9% of hires",conversion_by_channel [B2 LinkedIn merged into Job Board: Job Board + LinkedIn],10/223 = 4.48% (95% CI 2.45-8.06),"Applications applied on or before 2026-06-28, dropping APP-00335; channel = Candidates.Source with 'LinkedIn' counted as 'Job Board'; Stage='Hired' / applications in channel; Wilson 95%; not reported below 10 applications","medium: 223 applications, 95% interval 6 points wide, only 10 in the numerator"
"C1 job boards: biggest channel, 26.9% of hires",conversion_by_channel [B3 any Referred By link counts as Referral: Referral],9/34 = 26.47% (95% CI 14.60-43.12),"Applications applied on or before 2026-06-28, dropping APP-00335; channel = Candidates.Source, set to 'Referral' when the application has Referred By; Stage='Hired' / applications in channel; Wilson 95%; not reported below 10 applications","low: 34 applications, 95% interval 29 points wide, only 9 in the numerator"
"C1 job boards: biggest channel, 26.9% of hires","conversion_by_channel [B1 Source as recorded: Referral vs Job Board, magnitude]",6/12 = 50.00% vs 7/195 = 3.59%: 13.9x,"Referral conversion divided by job-board conversion, same applications as the rows above; the direction is reported separately in conversion_vs_job_board_p",low: implausible effect size on n=12
"C1 job boards: biggest channel, 26.9% of hires","conversion_by_channel [B2 LinkedIn merged into Job Board: Referral vs Job Board + LinkedIn, magnitude]",6/12 = 50.00% vs 10/223 = 4.48%: 11.2x,"Referral conversion divided by job-board conversion, same applications as the rows above; the direction is reported separately in conversion_vs_job_board_p",low: implausible effect size on n=12
"C1 job boards: biggest channel, 26.9% of hires","conversion_by_channel [B3 any Referred By link counts as Referral: Referral vs Job Board, magnitude]",9/34 = 26.47% vs 6/179 = 3.35%: 7.9x,"Referral conversion divided by job-board conversion, same applications as the rows above; the direction is reported separately in conversion_vs_job_board_p",low: a 7.9x gap resting on 9 referral hires out of 34 applications (95% interval 14.60-43.12); only the direction is supported
"C1 job boards: biggest channel, 26.9% of hires",conversion_vs_job_board_p [B1 Source as recorded: Referral vs Job Board],p = 1.3e-05 (6/12 vs 7/195),"Fisher's exact test, two-sided, hires vs non-hires in the channel against the job-board channel, applications applied on or before 2026-06-28",high: below the Bonferroni threshold 0.0125 for 4 comparisons
"C1 job boards: biggest channel, 26.9% of hires",conversion_vs_job_board_p [B1 Source as recorded: Career Site vs Job Board],p = 0.00685 (5/26 vs 7/195),"Fisher's exact test, two-sided, hires vs non-hires in the channel against the job-board channel, applications applied on or before 2026-06-28",high: below the Bonferroni threshold 0.0125 for 4 comparisons
"C1 job boards: biggest channel, 26.9% of hires",conversion_vs_job_board_p [B1 Source as recorded: Agency vs Job Board],p = 0.0575 (4/33 vs 7/195),"Fisher's exact test, two-sided, hires vs non-hires in the channel against the job-board channel, applications applied on or before 2026-06-28",low: no difference from Job Board detectable at 0.05
"C1 job boards: biggest channel, 26.9% of hires",conversion_vs_job_board_p [B1 Source as recorded: LinkedIn vs Job Board],p = 0.116 (3/28 vs 7/195),"Fisher's exact test, two-sided, hires vs non-hires in the channel against the job-board channel, applications applied on or before 2026-06-28",low: no difference from Job Board detectable at 0.05
"C1 job boards: biggest channel, 26.9% of hires",conversion_vs_job_board_p [B2 LinkedIn merged into Job Board: Referral vs Job Board + LinkedIn],p = 2.68e-05 (6/12 vs 10/223),"Fisher's exact test, two-sided, hires vs non-hires in the channel against the job-board channel, applications applied on or before 2026-06-28",high: below the Bonferroni threshold 0.0125 for 4 comparisons
"C1 job boards: biggest channel, 26.9% of hires",conversion_vs_job_board_p [B2 LinkedIn merged into Job Board: Career Site vs Job Board + LinkedIn],p = 0.0122 (5/26 vs 10/223),"Fisher's exact test, two-sided, hires vs non-hires in the channel against the job-board channel, applications applied on or before 2026-06-28",high: below the Bonferroni threshold 0.0125 for 4 comparisons
"C1 job boards: biggest channel, 26.9% of hires",conversion_vs_job_board_p [B3 any Referred By link counts as Referral: Referral vs Job Board],p = 6.18e-05 (9/34 vs 6/179),"Fisher's exact test, two-sided, hires vs non-hires in the channel against the job-board channel, applications applied on or before 2026-06-28",high: below the Bonferroni threshold 0.0125 for 4 comparisons
"C1 job boards: biggest channel, 26.9% of hires",conversion_vs_job_board_p [B3 any Referred By link counts as Referral: Career Site vs Job Board],p = 0.0171 (4/23 vs 6/179),"Fisher's exact test, two-sided, hires vs non-hires in the channel against the job-board channel, applications applied on or before 2026-06-28",medium: below 0.05 but not after Bonferroni
"C1 job boards: biggest channel, 26.9% of hires",referral_fields_on_hires [Source='Referral' hires with a Referred By link],0 of 6,"Applications with Stage='Hired', dropping APP-00335 (CAND-00035 hired again into the same opening): 25 hires; count hires by Candidates.Source = 'Referral' and Applications.Referred By present",high: exact count; which of the two fields is correct cannot be determined
"C1 job boards: biggest channel, 26.9% of hires",referral_fields_on_hires [other hires with a Referred By link],3 of 19,"Applications with Stage='Hired', dropping APP-00335 (CAND-00035 hired again into the same opening): 25 hires; hires whose Source is not 'Referral' but whose application has Referred By",high: exact count; which of the two fields is correct cannot be determined
"C1 job boards: biggest channel, 26.9% of hires",duplicate_hire_records,1 record dropped (APP-00335),"Stage='Hired' applications sharing (Candidate, Opening) with an earlier hired application; the earliest is kept",medium: same person and requisition months apart; a genuine re-hire cannot be ruled out
"C1 job boards: biggest channel, 26.9% of hires",recent_applications_excluded,"51 applied after 2026-06-28: 0 hires, 23 still Active",Applied On later than 2026-08-27 minus 60 days (slowest Applied On -> Closed On among Stage='Hired'),"medium: exact counts, but the 60-day window rests on 26 hires"
"C1 job boards: biggest channel, 26.9% of hires",stale_active_applications,82 of 105 Active applications applied on or before 2026-06-28,Applications with Status='Active' and Applied On at least 60 days (slowest recorded hire) before 2026-08-27,high: exact counts
C2 offer acceptance around 72%,vp_figure_reproduced,26/36 = 72.22%,"All Offers records, duplicate kept; Status='Accepted' / all, Pending counted as not accepted (equals Applications Stage='Hired' / Stage in ('Hired','Offer'))","medium: reproduces exactly, but 8 other distinct fractions also round to 72%"
C2 offer acceptance around 72%,offer_acceptance [defended],25/35 = 71.43% (95% CI 54.95-83.67),"Offers dropping APP-00335's offer, all offered at least 20 days (slowest recorded decision) before 2026-08-27: 35 offers; Status='Accepted' / 35, stale Pending counted as not accepted; Wilson 95%","low: 35 offers, 95% interval 29 points wide, only 10 outside the numerator"
C2 offer acceptance around 72%,offer_acceptance [sensitivity: Pending on On Hold requisitions excluded (company-side pause)],25/33 = 75.76% (95% CI 58.98-87.17),"Offers dropping APP-00335's offer, all offered at least 20 days (slowest recorded decision) before 2026-08-27: 35 offers; as defended but Pending offers on On Hold requisitions removed; Wilson 95%","low: 33 offers, 95% interval 28 points wide, only 8 outside the numerator"
C2 offer acceptance around 72%,offer_acceptance [sensitivity: Pending excluded (decided offers only)],25/30 = 83.33% (95% CI 66.44-92.66),"Offers dropping APP-00335's offer, all offered at least 20 days (slowest recorded decision) before 2026-08-27: 35 offers; Accepted / (Accepted + Declined); Wilson 95%","low: 30 offers, 95% interval 26 points wide, only 5 outside the numerator"
C2 offer acceptance around 72%,offer_acceptance [bound: every Pending offer was in fact accepted],30/35 = 85.71% (95% CI 70.62-93.74),"Offers dropping APP-00335's offer, all offered at least 20 days (slowest recorded decision) before 2026-08-27: 35 offers; (Accepted + Pending) / 35; Wilson 95%","medium: 35 offers, 95% interval 23 points wide, only 5 outside the numerator"
C2 offer acceptance around 72%,pending_offers,"5 of 35 offers Pending, aged 20-222 days at 2026-08-27; 4 carry a Decision On",Offers with Status='Pending'; age = as-of date minus Offered On,high: exact counts
C2 offer acceptance around 72%,slowest_offer_decision,"20 days (median 10, n = 31 decided offers)","Decision On minus Offered On for all Offers records with Status in ('Accepted','Declined')","medium: only decided offers are observed, so the true slowest may be longer"
C2 offer acceptance around 72%,offer_volume,"2.92 offers/month (trailing 12 months), 3.83 (trailing 6 months)","Offers dropping APP-00335's offer with Offered On in the 12 (6) months to 2026-08-27, divided by 12 (6)",medium: past volume; future volume may differ
C2 offer acceptance around 72%,"offers_needed_for_5pt_move [compare two periods, detect 71.4% -> 76.4%]","1,210 offers per period (2,420 total); illustration at the volume in this base: ~415 months per period (~830 for both) at 2.92 offers/month; ~3.5 years per period at ten times that volume","Baseline 71.43% (defended acceptance); normal approximation, two-sided alpha 0.05, power 80%, no continuity correction; months = offers / offers per month; calendar time is an illustration at the volume in this base, which placeholder data cannot establish as Acme's real scale, shown with the same figure at ten times that volume","high: out of reach at any baseline in the 95% interval (747-1,534 per period)"
C2 offer acceptance around 72%,"offers_needed_for_5pt_move [one new period against 71.4% treated as known, detect +5pp]",618 offers; illustration at the volume in this base: ~212 months at 2.92 offers/month; ~1.8 years at ten times that volume,"Baseline 71.43% (defended acceptance); normal approximation, two-sided alpha 0.05, power 80%, no continuity correction; months = offers / offers per month; calendar time is an illustration at the volume in this base, which placeholder data cannot establish as Acme's real scale, shown with the same figure at ten times that volume",medium: ignores uncertainty in the baseline rate
C2 offer acceptance around 72%,offers_needed_for_5pt_move [estimate the rate to within +/-5pp (95% interval half-width)],314 offers; illustration at the volume in this base: ~108 months at 2.92 offers/month; ~0.9 years at ten times that volume,"Baseline 71.43% (defended acceptance); normal approximation, two-sided alpha 0.05, power 80%, no continuity correction; months = offers / offers per month; calendar time is an illustration at the volume in this base, which placeholder data cannot establish as Acme's real scale, shown with the same figure at ten times that volume","high: standard formula; describes precision, not a test"
C2 offer acceptance around 72%,minimum_detectable_move,24.4 points (71.4% -> 95.8%) comparing two 12-month periods of ~35 offers (illustration at the volume in this base),"Smallest upward move d with per-period n for p -> p + d (alpha 0.05 two-sided, power 80%) <= offers in 12 months at trailing-12m volume",medium: the normal approximation is rough at ~35 offers per period
C2 offer acceptance around 72%,declines_by_reason [Declined offers],"Counter Offer 3, Location 1, Compensation 1 (of 5)","Offers dropping APP-00335's offer, all offered at least 20 days (slowest recorded decision) before 2026-08-27: 35 offers; Status='Declined', grouped by Decline Reason","low: 5 declines cannot rank reasons; counts only, no percentages"
C2 offer acceptance around 72%,declines_by_reason [Pending offers without a reason],5 non-accepted Pending offers have no Decline Reason,"Offers dropping APP-00335's offer, all offered at least 20 days (slowest recorded decision) before 2026-08-27: 35 offers; Status='Pending', by requisition status and application Rejection Reason",high: exact count
Both: data provenance,placeholder_contact_data,300/300 Candidates.Email on example.com; 14/14 People.Work Email on example.com,Domain after '@' in Candidates.Email and People.Work Email,high: exact count; whether the base is anonymised or generated is unknown
Both: data provenance,bulk_created_records,892 records created within 53 seconds on 2026-08-27 (UTC),Max minus min of the top-level createdTime across every record in every table,high: exact
Both: data provenance,templated_free_text,Candidates.Notes: 237 values from 7 distinct strings; Interviews.Feedback: 142 values from 12 distinct strings,Non-empty values and distinct strings per field,high: exact counts
Both: data provenance,findings_table_records,0 records,Record count of the Findings table in data/raw/findings.json,high: exact; its fields cannot be listed without schema scope
