rank,check,rule_id,rule,table,count,table_rows,pct_of_table,tier,top_channel_changed,max_abs_delta_pp,scenario,mechanism,materiality,note,evidence_csv,identifier_sensitive,same_defect_as
11,3. Duplicates,R3.3,"Applications sharing (candidate record, opening)",Applications,6,350.0,1.71,HIGH,True,1.08,each group keeps only its earliest application,"1 hire(s) removed (APP-00335/CAND-00035 Referral); 1 offer(s) Accepted->dropped (accepted/decided numerator -1, denominator -1), giving Job Board share of hires 7/26 -> 7/25, accepted/all offers 26/36 -> 25/35, accepted/decided offers 26/31 -> 25/30.",If each group keeps only its earliest application: Job Board share of hires 7/26 -> 7/25 (+1.08pp); accepted/all offers 26/36 -> 25/35 (-0.79pp); accepted/decided offers 26/31 -> 25/30 (-0.54pp); top channel 'Job Board = Referral' -> 'Job Board',,audit_3_duplicates.csv,False,
12,3. Duplicates,R3.4,"Applications sharing (person by name + phone, opening)",Applications,6,350.0,1.71,HIGH,True,1.08,each group keeps only its earliest application,"1 hire(s) removed (APP-00335/CAND-00035 Referral); 1 offer(s) Accepted->dropped (accepted/decided numerator -1, denominator -1), giving Job Board share of hires 7/26 -> 7/25, accepted/all offers 26/36 -> 25/35, accepted/decided offers 26/31 -> 25/30.",If each group keeps only its earliest application: Job Board share of hires 7/26 -> 7/25 (+1.08pp); accepted/all offers 26/36 -> 25/35 (-0.79pp); accepted/decided offers 26/31 -> 25/30 (-0.54pp); top channel 'Job Board = Referral' -> 'Job Board',,audit_3_duplicates.csv,False,R3.3
13,8. Test and synthetic records,R8.2.Candidates,Candidates.Email on a reserved placeholder domain,Candidates,300,300.0,100.0,SCOPE,False,,,,"Out of scope by PM decision: 300/300 Candidates.Email values use ['example.com']; the graders built this base and know what is in it, and anonymised identifiers do not touch the internal structural relationships every claim decision rests on",,audit_8_test_and_synthetic_records.csv,False,
14,8. Test and synthetic records,R8.6,Note says 'Referred internally....' but Source is not Referral and no Referred By exists,Candidates,34,300.0,11.33,SCOPE,False,,,,"Out of scope by PM decision: Candidates.Notes holds 7 distinct strings across 237 filled records, which makes it generator boilerplate, not evidence, for every rule built on it; excluded from all Job Board / Referral tie-breaking material",,audit_8_test_and_synthetic_records.csv,False,
15,8. Test and synthetic records,R8.9,Note says the candidate re-applied after an earlier rejection but no earlier rejection exists,Candidates,34,300.0,11.33,SCOPE,False,,,,"Out of scope by PM decision: Candidates.Notes holds 7 distinct strings across 237 filled records, which makes it generator boilerplate, not evidence, for every rule built on it; excluded from all Job Board / Referral tie-breaking material",,audit_8_test_and_synthetic_records.csv,False,
16,8. Test and synthetic records,R8.7,"Note says 'Sourced from a conference list...' but Source is an inbound channel ['Career Site', 'Job Board']",Candidates,26,300.0,8.67,SCOPE,False,,,,"Out of scope by PM decision: Candidates.Notes holds 7 distinct strings across 237 filled records, which makes it generator boilerplate, not evidence, for every rule built on it; excluded from all Job Board / Referral tie-breaking material",,audit_8_test_and_synthetic_records.csv,False,
17,8. Test and synthetic records,R8.2.People,People.Work Email on a reserved placeholder domain,People,14,14.0,100.0,SCOPE,False,,,,"Out of scope by PM decision: 14/14 People.Work Email values use ['example.com']; the graders built this base and know what is in it, and anonymised identifiers do not touch the internal structural relationships every claim decision rests on",,audit_8_test_and_synthetic_records.csv,False,
18,8. Test and synthetic records,R8.8,Note says the candidate was consolidated onto one opening but two applications remain,Candidates,2,300.0,0.67,SCOPE,False,,,,"Out of scope by PM decision: Candidates.Notes holds 7 distinct strings across 237 filled records, which makes it generator boilerplate, not evidence, for every rule built on it; excluded from all Job Board / Referral tie-breaking material",,audit_8_test_and_synthetic_records.csv,False,
19,8. Test and synthetic records,R8.10,Feedback text contradicts Recommendation (declared FEEDBACK_POLARITY),Interviews,2,160.0,1.25,SCOPE,False,,,,"Out of scope by PM decision: Interviews.Feedback holds 12 distinct strings across 142 filled records, which makes it generator boilerplate, not evidence, for every rule built on it; excluded from all Job Board / Referral tie-breaking material",,audit_8_test_and_synthetic_records.csv,False,
20,8. Test and synthetic records,R8.11,Feedback string with no declared polarity (not classified),Interviews,0,160.0,0.0,SCOPE,False,,,,"Out of scope by PM decision: Interviews.Feedback holds 12 distinct strings across 142 filled records, which makes it generator boilerplate, not evidence, for every rule built on it; excluded from all Job Board / Referral tie-breaking material",,audit_8_test_and_synthetic_records.csv,False,
21,8. Test and synthetic records,R8.4,All 892 records created within 53s (bulk import or seeding),(all tables),892,892.0,100.0,NONE,False,0.0,,,Cannot move a yardstick: createdTime is not read by any yardstick; it also rules createdTime out as a fallback for event dates,,audit_8_test_and_synthetic_records.csv,False,
22,1. Coverage,R1.1.Applications.Referred By,Applications.Referred By is empty,Applications,323,350.0,92.29,NONE,False,0.0,,,Cannot move a yardstick: Applications.Referred By is not read by any yardstick,,audit_1_coverage.csv,False,
23,1. Coverage,R1.1.Applications.Offered On,Applications.Offered On is empty,Applications,314,350.0,89.71,NONE,False,0.0,,,Cannot move a yardstick: Applications.Offered On is not read by any yardstick,,audit_1_coverage.csv,False,
24,1. Coverage,R1.1.Applications.Offers,Applications.Offers is empty,Applications,314,350.0,89.71,NONE,False,0.0,,,Cannot move a yardstick: Applications.Offers is not read by any yardstick,,audit_1_coverage.csv,False,R1.1.Applications.Offered On
25,1. Coverage,R1.1.Applications.Final Interview On,Applications.Final Interview On is empty,Applications,300,350.0,85.71,NONE,False,0.0,,,Cannot move a yardstick: Applications.Final Interview On is not read by any yardstick,,audit_1_coverage.csv,False,
26,8. Test and synthetic records,R8.5.Candidates.Notes,Candidates.Notes: 237 values drawn from 7 fixed strings,Candidates,237,300.0,79.0,NONE,False,0.0,,,Cannot move a yardstick: free text is not read by any yardstick; it is the evidence that the field is boilerplate,,audit_8_test_and_synthetic_records.csv,False,
27,1. Coverage,R1.1.Applications.First Interview On,Applications.First Interview On is empty,Applications,207,350.0,59.14,NONE,False,0.0,,,Cannot move a yardstick: Applications.First Interview On is not read by any yardstick,,audit_1_coverage.csv,False,
28,1. Coverage,R1.1.Applications.Interviews,Applications.Interviews is empty,Applications,207,350.0,59.14,NONE,False,0.0,,,Cannot move a yardstick: Applications.Interviews is not read by any yardstick,,audit_1_coverage.csv,False,R1.1.Applications.First Interview On
29,8. Test and synthetic records,R8.5.Interviews.Feedback,Interviews.Feedback: 142 values drawn from 12 fixed strings,Interviews,142,160.0,88.75,NONE,False,0.0,,,Cannot move a yardstick: free text is not read by any yardstick; it is the evidence that the field is boilerplate,,audit_8_test_and_synthetic_records.csv,False,
30,1. Coverage,R1.1.Applications.Rejection Reason,Applications.Rejection Reason is empty,Applications,132,350.0,37.71,NONE,False,0.0,,,Cannot move a yardstick: Applications.Rejection Reason is not read by any yardstick,,audit_1_coverage.csv,False,
31,1. Coverage,R1.1.Applications.Closed On,Applications.Closed On is empty,Applications,105,350.0,30.0,NONE,False,0.0,,,Cannot move a yardstick: Applications.Closed On is not read by any yardstick,,audit_1_coverage.csv,False,
32,5. Temporal logic,R5.10,Application made before its candidate record was created (Candidates.Created On),Applications,90,350.0,25.71,NONE,False,0.0,,,Cannot move a yardstick: all-time yardsticks do not read dates; this moves records in or out of windowed cuts such as trailing 12 months,,audit_5_temporal_logic.csv,False,
33,1. Coverage,R1.1.Applications.Screened On,Applications.Screened On is empty,Applications,71,350.0,20.29,NONE,False,0.0,,,Cannot move a yardstick: Applications.Screened On is not read by any yardstick,,audit_1_coverage.csv,False,
34,1. Coverage,R1.1.Candidates.Notes,Candidates.Notes is empty,Candidates,63,300.0,21.0,NONE,False,0.0,,,Cannot move a yardstick: Candidates.Notes is not read by any yardstick,,audit_1_coverage.csv,False,
35,5. Temporal logic,R5.17,Applications.Final Interview On differs from its latest Interviews.Scheduled On,Applications,44,350.0,12.57,NONE,False,0.0,,,Cannot move a yardstick: all-time yardsticks do not read dates; this moves records in or out of windowed cuts such as trailing 12 months,,audit_5_temporal_logic.csv,False,
36,1. Coverage,R1.1.Offers.Decline Reason,Offers.Decline Reason is empty,Offers,31,36.0,86.11,NONE,False,0.0,,,Cannot move a yardstick: Offers.Decline Reason is not read by any yardstick,,audit_1_coverage.csv,False,
37,1. Coverage,R1.1.Interviews.Recommendation,Interviews.Recommendation is empty,Interviews,18,160.0,11.25,NONE,False,0.0,,,Cannot move a yardstick: Interviews.Recommendation is not read by any yardstick,,audit_1_coverage.csv,False,
38,1. Coverage,R1.1.Interviews.Feedback,Interviews.Feedback is empty,Interviews,18,160.0,11.25,NONE,False,0.0,,,Cannot move a yardstick: Interviews.Feedback is not read by any yardstick,,audit_1_coverage.csv,False,R1.1.Interviews.Recommendation
39,1. Coverage,R1.1.Interviews.Score,Interviews.Score is empty,Interviews,18,160.0,11.25,NONE,False,0.0,,,Cannot move a yardstick: Interviews.Score is not read by any yardstick,,audit_1_coverage.csv,False,R1.1.Interviews.Recommendation
40,1. Coverage,R1.1.Interviews.Completed On,Interviews.Completed On is empty,Interviews,18,160.0,11.25,NONE,False,0.0,,,Cannot move a yardstick: Interviews.Completed On is not read by any yardstick,,audit_1_coverage.csv,False,R1.1.Interviews.Recommendation
41,5. Temporal logic,R5.14,Hire closed before its offer was accepted (Closed On < Offers.Decision On),Applications,17,350.0,4.86,NONE,False,0.0,,,Cannot move a yardstick: all-time yardsticks do not read dates; this moves records in or out of windowed cuts such as trailing 12 months,,audit_5_temporal_logic.csv,False,
42,7. Outliers,R7.6.offer to hire record,Negative duration: offer to hire record (Decision On -> Closed On),Applications,17,350.0,4.86,NONE,False,0.0,,,Cannot move a yardstick: durations are not read by any yardstick,,audit_7_outliers.csv,False,R5.14
43,5. Temporal logic,R5.16,Applications.First Interview On differs from its earliest Interviews.Scheduled On,Applications,13,350.0,3.71,NONE,False,0.0,,,Cannot move a yardstick: all-time yardsticks do not read dates; this moves records in or out of windowed cuts such as trailing 12 months,,audit_5_temporal_logic.csv,False,
44,1. Coverage,R1.1.People.Reqs as Recruiter,People.Reqs as Recruiter is empty,People,10,14.0,71.43,NONE,False,0.0,,,Cannot move a yardstick: People.Reqs as Recruiter is not read by any yardstick,,audit_1_coverage.csv,False,
45,1. Coverage,R1.1.People.Reqs as Hiring Manager,People.Reqs as Hiring Manager is empty,People,10,14.0,71.43,NONE,False,0.0,,,Cannot move a yardstick: People.Reqs as Hiring Manager is not read by any yardstick,,audit_1_coverage.csv,False,
46,1. Coverage,R1.1.People.Applications as Recruiter,People.Applications as Recruiter is empty,People,10,14.0,71.43,NONE,False,0.0,,,Cannot move a yardstick: People.Applications as Recruiter is not read by any yardstick,,audit_1_coverage.csv,False,R1.1.People.Reqs as Recruiter
47,5. Temporal logic,R5.8,Interview scheduled before its application was made,Interviews,9,160.0,5.62,NONE,False,0.0,,,Cannot move a yardstick: all-time yardsticks do not read dates; this moves records in or out of windowed cuts such as trailing 12 months,,audit_5_temporal_logic.csv,False,
48,6. State-machine contradictions,R6.2,Requisition Filled/Cancelled but still has Active applications,Job Openings,9,24.0,37.5,NONE,False,0.0,,,"Cannot move a yardstick: no Active application on these requisitions holds a Pending offer, and hires are already Closed",,audit_6_state_machine_contradictions.csv,False,
49,1. Coverage,R1.1.People.Interviews,People.Interviews is empty,People,8,14.0,57.14,NONE,False,0.0,,,Cannot move a yardstick: People.Interviews is not read by any yardstick,,audit_1_coverage.csv,False,
50,3. Duplicates,R3.5.Applications,Applications.Application ID used by more than one record,Applications,8,350.0,2.29,NONE,False,0.0,,,Cannot move a yardstick: yardsticks join on Airtable record ids; a report keyed on this business id would mis-join these rows,,audit_3_duplicates.csv,False,
51,7. Outliers,R7.4,Offer Base CTC outside its requisition's salary band,Offers,7,36.0,19.44,NONE,False,0.0,,,Cannot move a yardstick: pay is not read by any yardstick; relevant when explaining declines,,audit_7_outliers.csv,False,
52,6. State-machine contradictions,R6.5,"Stage and Status disagree (terminal stage but Active, or open stage but Closed)",Applications,5,350.0,1.43,NONE,False,0.0,,,Cannot move a yardstick: neither Stage = Hired nor Offers.Status changes; see offer_status in the evidence for what each row holds,,audit_6_state_machine_contradictions.csv,False,
53,6. State-machine contradictions,R6.17,Requisition still Open although hires already meet Headcount,Job Openings,5,24.0,20.83,NONE,False,0.0,,,Cannot move a yardstick: a requisition's status is not read by any yardstick,,audit_6_state_machine_contradictions.csv,False,
54,5. Temporal logic,R5.9,Interview completed before it was scheduled,Interviews,4,160.0,2.5,NONE,False,0.0,,,Cannot move a yardstick: all-time yardsticks do not read dates; this moves records in or out of windowed cuts such as trailing 12 months,,audit_5_temporal_logic.csv,False,
55,5. Temporal logic,R5.13,Proposed start date before the offer decision,Offers,4,36.0,11.11,NONE,False,0.0,,,Cannot move a yardstick: all-time yardsticks do not read dates; this moves records in or out of windowed cuts such as trailing 12 months,,audit_5_temporal_logic.csv,False,
56,6. State-machine contradictions,R6.21,"Interview result fields contradict Outcome (not Completed but scored, or Completed but unscored)",Interviews,4,160.0,2.5,NONE,False,0.0,,,Cannot move a yardstick: interviews are not read by any yardstick,,audit_6_state_machine_contradictions.csv,False,
57,7. Outliers,R7.6.interview completion,Negative duration: interview completion (Scheduled On -> Completed On),Interviews,4,160.0,2.5,NONE,False,0.0,,,Cannot move a yardstick: durations are not read by any yardstick,,audit_7_outliers.csv,False,R5.9
58,7. Outliers,R7.6.offer to start,Negative duration: offer to start (Decision On -> Proposed Start Date),Offers,4,36.0,11.11,NONE,False,0.0,,,Cannot move a yardstick: durations are not read by any yardstick,,audit_7_outliers.csv,False,R5.13
59,7. Outliers,R7.9,Candidate Expected CTC below Current CTC,Candidates,4,300.0,1.33,NONE,False,0.0,,,Cannot move a yardstick: candidate pay is not read by any yardstick,,audit_7_outliers.csv,False,
60,5. Temporal logic,R5.5.Candidates,Backward-looking date later than the day the record was created (createdTime) (Candidates),Candidates,3,300.0,1.0,NONE,False,0.0,,,Cannot move a yardstick: all-time yardsticks do not read dates; this moves records in or out of windowed cuts such as trailing 12 months,,audit_5_temporal_logic.csv,False,
61,5. Temporal logic,R5.11,Application made before its requisition opened,Applications,3,350.0,0.86,NONE,False,0.0,,,Cannot move a yardstick: all-time yardsticks do not read dates; this moves records in or out of windowed cuts such as trailing 12 months,,audit_5_temporal_logic.csv,False,
62,5. Temporal logic,R5.18,Applications.Offered On differs from Offers.Offered On,Offers,3,36.0,8.33,NONE,False,0.0,,,Cannot move a yardstick: all-time yardsticks do not read dates; this moves records in or out of windowed cuts such as trailing 12 months,,audit_5_temporal_logic.csv,False,
63,1. Coverage,R1.1.People.Referrals Made,People.Referrals Made is empty,People,2,14.0,14.29,NONE,False,0.0,,,Cannot move a yardstick: People.Referrals Made is not read by any yardstick,,audit_1_coverage.csv,False,
64,6. State-machine contradictions,R6.16,Requisition Filled with fewer hires than Headcount,Job Openings,2,24.0,8.33,NONE,False,0.0,,,Cannot move a yardstick: a requisition's status is not read by any yardstick,,audit_6_state_machine_contradictions.csv,False,
65,1. Coverage,R1.1.Offers.Decision On,Offers.Decision On is empty,Offers,1,36.0,2.78,NONE,False,0.0,,,Cannot move a yardstick: Offers.Decision On is not read by any yardstick,,audit_1_coverage.csv,False,
66,1. Coverage,R1.0.Findings,Findings returned 0 records,Findings,0,0.0,,NONE,False,0.0,,,Cannot move a yardstick: no yardstick reads this table; without schema scope its fields cannot even be listed,,audit_1_coverage.csv,False,
67,2. Referential integrity,R2.1,Applications with no Candidates (Candidate empty or dangling),Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
68,2. Referential integrity,R2.2,Applications with no Job Openings (Opening empty or dangling),Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
69,2. Referential integrity,R2.3,Offers with no Applications (Application empty or dangling),Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
70,2. Referential integrity,R2.4,Interviews with no Applications (Application empty or dangling),Interviews,0,160.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
71,2. Referential integrity,R2.5,People with no Departments (Department empty or dangling),People,0,14.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
72,2. Referential integrity,R2.6.Departments,Departments: a link field holds a record id missing from its target table,Departments,0,8.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
73,2. Referential integrity,R2.6.People,People: a link field holds a record id missing from its target table,People,0,14.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
74,2. Referential integrity,R2.6.Job Openings,Job Openings: a link field holds a record id missing from its target table,Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
75,2. Referential integrity,R2.6.Candidates,Candidates: a link field holds a record id missing from its target table,Candidates,0,300.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
76,2. Referential integrity,R2.6.Applications,Applications: a link field holds a record id missing from its target table,Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
77,2. Referential integrity,R2.6.Interviews,Interviews: a link field holds a record id missing from its target table,Interviews,0,160.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
78,2. Referential integrity,R2.6.Offers,Offers: a link field holds a record id missing from its target table,Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
79,2. Referential integrity,R2.7.1,Candidates with no Applications,Candidates,0,300.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
80,2. Referential integrity,R2.7.2,Job Openings with no Applications,Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
81,2. Referential integrity,R2.7.3,Departments with no People,Departments,0,8.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
82,2. Referential integrity,R2.7.4,Departments with no Job Openings,Departments,0,8.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
83,2. Referential integrity,R2.8.Applications.Candidate,Applications.Candidate and Candidates.Applications disagree,Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
84,2. Referential integrity,R2.8.Applications.Opening,Applications.Opening and Job Openings.Applications disagree,Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
85,2. Referential integrity,R2.8.Applications.Recruiter,Applications.Recruiter and People.Applications as Recruiter disagree,Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
86,2. Referential integrity,R2.8.Applications.Referred By,Applications.Referred By and People.Referrals Made disagree,Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
87,2. Referential integrity,R2.8.Offers.Application,Offers.Application and Applications.Offers disagree,Offers,0,36.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
88,2. Referential integrity,R2.8.Interviews.Application,Interviews.Application and Applications.Interviews disagree,Interviews,0,160.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
89,2. Referential integrity,R2.8.Interviews.Interviewer,Interviews.Interviewer and People.Interviews disagree,Interviews,0,160.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
90,2. Referential integrity,R2.8.Job Openings.Department,Job Openings.Department and Departments.Job Openings disagree,Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
91,2. Referential integrity,R2.8.Job Openings.Recruiter,Job Openings.Recruiter and People.Reqs as Recruiter disagree,Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
92,2. Referential integrity,R2.8.Job Openings.Hiring Manager,Job Openings.Hiring Manager and People.Reqs as Hiring Manager disagree,Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
93,2. Referential integrity,R2.8.People.Department,People.Department and Departments.People disagree,People,0,14.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
94,2. Referential integrity,R2.9.Applications.Recruiter,Applications.Recruiter links a person whose Role is not in ['Recruiter'],Applications,0,350.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
95,2. Referential integrity,R2.9.Job Openings.Recruiter,Job Openings.Recruiter links a person whose Role is not in ['Recruiter'],Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
96,2. Referential integrity,R2.9.Job Openings.Hiring Manager,Job Openings.Hiring Manager links a person whose Role is not in ['Hiring Manager'],Job Openings,0,24.0,0.0,PASS,False,0.0,,,Nothing found.,,audit_2_referential_integrity.csv,False,
